[2024-07-18 15:18:23,126: INFO: main: Started Succesfully]
[2024-07-23 12:13:37,368: INFO: main: Started Succesfully]
[2024-07-23 12:39:11,045: INFO: main: Started Succesfully]
[2024-08-01 12:34:44,169: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:34:44,176: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 12:34:44,184: INFO: common: Created dir at path: artifacts]
[2024-08-01 12:35:29,383: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:35:34,628: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:46:49,889: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:47:00,922: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:47:00,926: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 12:47:00,929: INFO: common: Created dir at path: artifacts]
[2024-08-01 12:48:05,660: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:48:05,664: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 12:48:05,667: INFO: common: Created dir at path: artifacts]
[2024-08-01 12:48:05,669: INFO: common: Created dir at path: artifacts/data_ingestion]
[2024-08-01 12:55:01,892: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:55:01,896: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 12:55:01,898: INFO: common: Created dir at path: artifacts]
[2024-08-01 12:55:01,899: INFO: common: Created dir at path: artifacts/data_ingestion]
[2024-08-01 12:58:22,689: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:59:01,737: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:59:06,432: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 12:59:06,434: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 12:59:06,436: INFO: common: Created dir at path: artifacts]
[2024-08-01 12:59:06,441: INFO: common: Created dir at path: artifacts/data_ingestion]
[2024-08-01 12:59:06,443: INFO: 429829267: Downloading dataset into artifacts/data_ingestion/data.zip]
[2024-08-01 12:59:31,398: INFO: 429829267: Download completed.]
[2024-08-01 13:03:14,166: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-01 13:03:14,170: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-01 13:03:14,180: INFO: common: Created dir at path: artifacts]
[2024-08-01 13:03:14,183: INFO: common: Created dir at path: artifacts/data_ingestion]
[2024-08-01 13:03:14,185: INFO: 663402032: Downloading dataset into artifacts/data_ingestion/data.zip]
[2024-08-01 13:03:40,177: INFO: 663402032: Download completed.]
[2024-08-01 13:03:41,472: INFO: 663402032: File Extraction completed.]
[2024-08-03 22:22:46,481: INFO: main: Data Ingestion Stage started]
[2024-08-03 22:22:48,460: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-03 22:22:48,464: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-03 22:22:48,464: INFO: common: Created dir at path: artifacts]
[2024-08-03 22:22:48,465: INFO: common: Created dir at path: artifacts/data_ingestion]
[2024-08-03 22:22:48,466: INFO: data_ingestion: Downloading dataset into artifacts/data_ingestion/data.zip]
[2024-08-03 22:23:15,521: INFO: data_ingestion: Download completed.]
[2024-08-03 22:23:16,770: INFO: data_ingestion: File Extraction completed.]
[2024-08-03 22:23:16,771: INFO: main: Data Ingestion Stage completed]
[2024-08-04 11:45:48,888: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-04 11:45:48,913: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-04 11:45:48,928: INFO: common: Created dir at path: artifacts]
[2024-08-04 11:45:48,932: INFO: common: Created dir at path: artifacts/prepare_base_model]
[2024-08-04 11:46:42,629: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-04 11:46:42,636: INFO: common: yaml file: params.yaml loaded completed.]
[2024-08-04 11:46:42,639: INFO: common: Created dir at path: artifacts]
[2024-08-04 11:46:42,641: INFO: common: Created dir at path: artifacts/prepare_base_model]
[2024-08-04 11:46:54,465: INFO: common: yaml file: config/config.yaml loaded completed.]
[2024-08-04 11:46:54,470: INFO: common: yaml file: params.yaml loaded completed.]
